,Close,Open,High,Low,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-01,50.397535614758425,50.26709029787069,50.474491530620824,50.2306613340059,111121830.0
2015-01-02,50.318211681927934,50.422895537987856,50.39799449791607,50.1327197359542,135112722.0
2015-01-05,50.832228722230546,50.772448093707425,51.03968825138456,50.213159552161756,77194802.0
2015-01-06,52.01892986676744,52.1843401360423,52.54851177121481,51.68685131633934,100457907.0
2015-01-07,51.86223321203383,51.95823113138431,51.91464070380654,51.63191957813805,89201493.0
2015-01-08,51.70602134666703,51.81205529671902,51.900076466364496,51.70098737985181,87645230.0
2015-01-09,52.95669653058369,52.7396870243669,53.37732775870387,52.91734991629808,84963831.0
2015-01-12,53.59278699973071,53.787641367323964,54.21240762298298,53.04762036741069,97365277.0
2015-01-13,53.24217678172196,53.283905422626766,53.52596596302789,52.751035023044174,86568877.0
2015-01-14,53.70210403644236,53.64261115839212,53.95041333890092,53.286323242359835,137218379.0
2015-01-15,53.35565751118444,53.378609269048134,53.60210239522476,53.185349599941965,105069660.0
2015-01-16,53.009595581576086,52.72712304751503,53.064157063327066,52.56429418130754,91050772.0
2015-01-19,53.228495211792605,53.29375113445016,53.82760736687264,53.09024665712129,63375562.0
2015-01-20,51.72749403427473,51.567753608629104,51.92783192659888,51.66832165660232,117233147.0
2015-01-21,50.41497262792788,50.21038812162164,50.800251607496705,49.7188384031631,88191844.0
2015-01-22,50.01496445830621,49.786542236531815,50.03046625443352,49.90678541247245,107352495.0
2015-01-23,49.280121253248474,49.44462150735822,49.519958048831704,49.269325232209,144602301.0
2015-01-26,49.537053513682174,49.44353795045949,49.771871158018804,48.76304410729188,87288505.0
2015-01-27,48.88710948212693,49.11204802553831,49.04731688838243,48.61844288946388,72885137.0
2015-01-28,47.875901351830116,47.79894541786234,48.01262449269375,47.28757884298291,137764075.0
2015-01-29,48.95237814066583,48.701640443581134,48.9842083170752,48.718371006807715,140391738.0
2015-01-30,48.8110700271869,48.6475737693107,48.82586684210871,48.53331425421734,121950564.0
2015-02-02,48.884917421117976,49.06615506809427,49.81896036225703,48.83911256004198,69670846.0
2015-02-03,47.86462941839454,47.842243392852716,48.31810146206323,47.77417536008815,117145981.0
2015-02-04,47.49771157253613,47.419584396933345,47.772372559535285,47.14084964953846,95218748.0
2015-02-05,47.60048896591617,47.62333980329832,47.64306252268784,47.45411274929098,102357206.0
2015-02-06,46.802471354170166,46.87292537057666,47.17957092241074,46.72542812355249,74097972.0
2015-02-09,47.089626525968875,47.2474802047331,47.28476397047028,46.48476221990344,70132888.0
2015-02-10,46.688913565452005,46.89180013148429,46.69870133695017,45.911733449115104,138268733.0
2015-02-11,46.507975058159516,46.45777872454432,46.62092035470363,46.05933367387687,95829507.0
2015-02-12,46.11146670398018,45.928028692806194,46.14131644095144,45.76589068569796,87152989.0
2015-02-13,47.41569139480457,47.3568771853576,48.61831482106489,46.895226728302084,113456221.0
2015-02-16,47.42979953685907,47.4668346936108,47.50970958158052,46.98208418731652,129737228.0
2015-02-17,46.70100917670265,46.56598363333137,46.883507783901315,46.42756614912084,105581182.0
2015-02-18,47.30056484361672,47.16474350687136,47.903238367842825,46.82584929778063,67726000.0
2015-02-19,46.458016212597954,46.505931321522176,46.46520570984107,46.16042402011371,97373133.0
2015-02-20,46.626796044948534,46.61999053512719,47.07029648388902,45.8584442627068,140300855.0
2015-02-23,45.27951235524819,45.283967451125044,45.297580747689196,45.07712241222339,105418030.0
2015-02-24,44.40005786225834,44.299026152011535,44.77164055591997,44.34447702582632,135747671.0
2015-02-25,44.55336764514083,44.522572261963695,44.72210280224622,44.43113944542872,127319441.0
2015-02-26,45.06916192444619,44.94419868474129,45.17406395544545,44.620825032498395,60055714.0
2015-02-27,45.20754787761338,45.32827893948787,45.5539605254726,44.925678698962756,63161168.0
2015-03-02,45.15172902260674,45.291958914903574,45.43740646538679,44.91625784955563,63242015.0
2015-03-03,44.970374600053745,44.721303320812986,44.98260945466826,44.859222219310496,114363511.0
2015-03-04,43.99551447093516,43.872831545433705,44.47595316016584,43.254776847108275,77394566.0
2015-03-05,43.54246348386191,43.34697577253504,43.78682197127052,43.49436529141046,60764556.0
2015-03-06,43.263374512647324,43.17900782589803,43.442959458272924,42.61057217266263,106046205.0
2015-03-09,43.97102632158194,43.96001976208432,44.14543476662175,43.952361742017416,68463194.0
2015-03-10,44.2196505675706,44.02734215238455,44.220223311577506,43.913548082322606,143050180.0
2015-03-11,43.07234509875336,42.95322510674254,43.21526702747066,42.90802359889477,97125859.0
2015-03-12,43.303267119863925,43.17284321708332,43.85905211952738,42.722270347722606,126910681.0
2015-03-13,43.07478894064394,43.10157293004839,43.17303194024613,42.571502796723365,92177577.0
2015-03-16,42.6589522507274,42.66782672101486,42.70626791690086,42.25240879044019,122525164.0
2015-03-17,43.071683770831235,42.97842441584261,43.44593407877944,42.839049452467,116137289.0
2015-03-18,43.759322893729006,43.7825355786439,44.06327898792582,43.158583269655395,116970989.0
2015-03-19,44.39248536672961,44.31967990376364,44.42722276818814,43.429774196710646,91406233.0
2015-03-20,43.85585733512552,43.82011633183707,44.243168952178465,43.83349250195073,66910623.0
2015-03-23,43.674373656169294,43.893634571831484,43.76391689200349,43.36778513568174,51674842.0
2015-03-24,43.91322668622354,44.08981859631751,43.99610553446922,43.41890877460887,139592288.0
2015-03-25,44.57777331421613,44.40397600086663,44.72287761977146,44.4993100041197,98478844.0
2015-03-26,44.27965439258305,44.38987518668909,44.46908511713597,44.234522134369705,117764724.0
2015-03-27,44.178480489956016,44.28601929051269,44.28273161556502,44.14220270211625,55891709.0
2015-03-30,43.46742675923378,43.317690608021266,43.98808225548582,43.363871298355015,128866483.0
2015-03-31,42.70922011529634,42.81412817913417,43.14688355797037,42.492863642078085,109088998.0
2015-04-01,43.251109888323924,43.45066167553599,43.481351911832235,43.11698652441584,123612648.0
2015-04-02,44.15261874092799,44.003928862378835,44.40761017581037,43.46914887736084,142673447.0
2015-04-03,44.127003518644095,44.00554356801031,44.57533337925108,44.07427651669144,69909306.0
2015-04-06,44.81331051614876,44.95012485409069,45.05309403979539,43.96455442638348,146406732.0
2015-04-07,45.078808783671114,45.11552483927824,45.321132483582225,44.95122831468526,113622157.0
2015-04-08,44.66512973715675,44.73902501529836,44.80241322028817,44.31520516245914,126904363.0
2015-04-09,44.92958902612241,44.97549662668122,45.28702314452496,44.87087131724618,97830631.0
2015-04-10,45.98860408321243,46.04250676328589,46.080415066341295,45.50514429072451,63327988.0
2015-04-13,45.98688454232658,45.80388358048681,46.4221250877223,45.6378445686548,50530901.0
2015-04-14,47.089174291844785,47.23712626992289,47.18439359563517,46.68938484444168,78221020.0
2015-04-15,45.26229437189037,45.42110935148542,45.63504316233614,45.10536472272993,134748714.0
2015-04-16,45.84294341554669,45.81139557484561,46.13512870644078,45.19997053468651,127489807.0
2015-04-17,45.925722294610445,45.91973216364034,45.93130059543226,45.79156311453931,79445794.0
2015-04-20,45.74270322763461,45.532592239337575,46.09942553088889,45.43513185802708,52643508.0
2015-04-21,45.828535368783434,45.89923799560761,46.06522608319165,45.57657431573761,134721569.0
2015-04-22,44.4851390519576,44.561483216478685,44.492036468389564,44.330049718199824,54999682.0
2015-04-23,44.36079960433972,44.35252307461283,45.18424804651511,44.06218061815215,61161667.0
2015-04-24,44.62060699245724,44.77111498063154,44.8999783356624,44.45003495898853,121912693.0
2015-04-27,45.63208523615703,45.586351314118424,45.64093159408227,45.61580132352772,145406468.0
2015-04-28,45.30015501714074,45.37688522504047,45.73592484061424,44.81374727309019,120934835.0
2015-04-29,44.77343181152789,44.636470196310654,45.16574397065258,44.08066584521712,125034524.0
2015-04-30,44.45883775578036,44.4556964520168,45.58869823121276,44.45062864160777,97265119.0
2015-05-01,45.09153288814147,45.06794718587823,45.192207439958445,44.866110000219386,120358814.0
2015-05-04,45.33643702668403,45.3670810019417,45.44218469282132,45.26627487357989,82490561.0
2015-05-05,44.99884364343746,44.948958789959626,45.60746978922192,44.527304299810865,111051339.0
2015-05-06,45.367789679808226,45.349895816600956,45.72292857259753,45.34080661353494,56773060.0
2015-05-07,45.456536482269925,45.56918421242404,46.45847772934193,45.38942392735328,64634916.0
2015-05-08,46.13973344576896,46.079276889314514,46.252539783970995,45.921094026478976,102462234.0
2015-05-11,45.676915173247664,45.4567647153985,45.944018782520146,45.64062438363915,87433411.0
2015-05-12,45.47525468969983,45.713943010634054,45.711966060627304,45.33322319524872,149289274.0
2015-05-13,45.23052404510079,45.417975720871034,45.98688800932576,45.043760321954814,122456383.0
2015-05-14,44.26020608634553,44.08861864673632,44.32049140707422,44.029157792466016,100775252.0
2015-05-15,44.47893135672706,44.57096375510415,44.57344181276705,44.26145530399532,116635351.0
2015-05-18,44.675342715379436,44.607931004624724,44.818260294234896,44.48663620438704,115567147.0
2015-05-19,44.70110706815656,44.736441578827375,44.742103646255394,44.21723755296281,61847006.0
2015-05-20,44.566163053203425,44.60550037472684,44.66038243627501,43.41777633226027,118312171.0
2015-05-21,43.64228148566574,43.61159121205422,43.69469305560485,43.50416280004874,76979567.0
2015-05-22,43.38873380268225,43.286714003198824,43.82748281985039,43.376837717696105,83243312.0
2015-05-25,43.18737893566517,43.097910961374126,43.355355310272714,42.60663981994612,77113012.0
2015-05-26,42.68924883857283,42.571914204581226,43.354986566107584,42.58347281020078,57726409.0
2015-05-27,42.60731597480087,42.50099083981807,43.30619779915125,42.445151851268015,55311344.0
2015-05-28,42.88685247068106,42.878209274437324,43.14046146928483,42.68455030487186,148558577.0
2015-05-29,44.121684544078825,44.026942934732375,44.300649252115704,43.18565957397639,85495361.0
2015-06-01,44.25928539414329,44.34984680523341,44.27960761688819,43.77548204263288,102207038.0
2015-06-02,44.452399980535944,44.65073496343546,44.948648261220846,44.19004664392016,58085898.0
2015-06-03,44.424986686157894,44.34768011358251,44.676578159073344,44.18098058208865,122389483.0
2015-06-04,43.16857839409933,43.19958264994711,43.25931762270172,42.912649581321766,93131077.0
